window,start_row,stop_row,n_rows,shift_score,predicted_unknown_rate,novel_prevalence_posthoc,labels_present_posthoc,phase,normalized_shift_score
169,84500,85000,500,8.037826254808769,0.084,0.008,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
170,85000,85500,500,6.209681451630083,0.096,0.006,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
171,85500,86000,500,7.085058943243576,0.094,0.006,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
172,86000,86500,500,8.299025188153085,0.108,0.01,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Worms,post_change,8.0
173,86500,87000,500,6.03299053862974,0.102,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
174,87000,87500,500,9.178840279434645,0.122,0.008,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
175,87500,88000,500,4.150150505938795,0.09,0.002,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
176,88000,88500,500,2.7514563249352317,0.064,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
177,88500,89000,500,3.268010814882517,0.058,0.0,Benign|DoS|Exploits|Fuzzers|Generic|Shellcode,post_change,8.0
178,89000,89500,500,3.4455038298374805,0.066,0.006,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
179,89500,90000,500,5.968670671431369,0.072,0.03,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
180,90000,90500,500,5.079269822970361,0.072,0.008,Analysis|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
181,90500,91000,500,4.145193454275255,0.05,0.012,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
182,91000,91500,500,2.7637493763968024,0.064,0.01,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
183,91500,92000,500,28107.93110406051,0.062,0.004,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
184,92000,92500,500,3.257871350768613,0.054,0.004,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode|Worms,post_change,8.0
185,92500,93000,500,56775.79004476602,0.09,0.002,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
186,93000,93500,500,3.453860789368878,0.066,0.01,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
187,93500,94000,500,3.459247499966821,0.062,0.008,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
188,94000,94500,500,6.222981436941353,0.058,0.01,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
189,94500,95000,500,6.223662575693185,0.068,0.04,Backdoor|Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
190,95000,95500,500,6.242490593054863,0.076,0.042,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
191,95500,96000,500,4.842555109708257,0.06,0.024,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
192,96000,96500,500,5.340964485977567,0.07,0.012,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
193,96500,97000,500,6.926058827818896,0.068,0.008,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
194,97000,97500,500,7.32032988273943,0.094,0.014,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
195,97500,98000,500,347.44848276414086,0.148,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
196,98000,98500,500,86.14780909658289,0.134,0.01,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
197,98500,99000,500,11.050792406435988,0.118,0.008,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
198,99000,99500,500,11.042503896443446,0.142,0.012,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,8.0
199,99500,100000,500,10.864815193425267,0.094,0.004,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,8.0
200,100000,100500,500,9.667354328446027,0.088,0.006,Benign|DoS|Exploits|Generic|Reconnaissance|Shellcode,post_change,8.0
201,100500,101000,500,1194.8450852984558,0.066,0.01,Benign|Exploits|Generic|Reconnaissance|Shellcode,post_change,8.0
202,101000,101500,500,7.108774871424317,0.09,0.008,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
203,101500,102000,500,6.23681607216887,0.052,0.002,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
204,102000,102500,500,4.669604167275131,0.102,0.004,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
205,102500,103000,500,4.5451585764601425,0.054,0.012,Benign|DoS|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
206,103000,103500,500,7.424833154623743,0.1,0.006,Benign|Exploits|Fuzzers|Generic|Reconnaissance,post_change,8.0
207,103500,104000,500,7.814424673737395,0.092,0.008,Benign|Exploits|Fuzzers|Generic|Reconnaissance|Shellcode,post_change,8.0
208,104000,104500,500,9.493283275868533,0.096,0.004,Benign|DoS|Exploits|Generic|Reconnaissance,post_change,8.0
