window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,resilience_score,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
142,71000,71500,500,0.0,0.2484688366351122,0.3072640632264063,0.3706095205982568,0.2484688366351122,,,0.928,,0.928,0.0,,1.0,0.072,0.5903656794462137,False,none,0.15144853308659423,0.0,0,0,False,0.3402745331018427,0.0
143,71500,72000,500,0.0,0.31144736842105264,0.41526610644257705,0.5482320551385816,0.31144736842105264,,,0.956,,0.956,0.0,,1.0,0.044,0.6122685909436308,False,none,0.0806366430117232,0.0,0,0,False,0.3402745331018427,0.0
144,72000,72500,500,0.0,0.2831054131054131,0.3339302740123533,0.4556746400292789,0.2831054131054131,,,0.932,,0.932,0.0,,1.0,0.068,0.5779561393330525,False,none,0.09538625838188966,0.0,0,0,False,0.3402745331018427,0.0
145,72500,73000,500,0.0,0.31350265787564824,0.3387615930169121,0.5061915113131628,0.31350265787564824,,,0.936,,0.936,0.0,,1.0,0.064,0.5907579344245674,False,none,0.07040573630551045,0.0,0,0,False,0.3402745331018427,0.0
146,73000,73500,500,0.0,0.2558798429766172,0.24839520279434443,0.466517856956444,0.2558798429766172,,,0.928,,0.928,0.0,,1.0,0.072,0.5715661146835129,False,none,0.059338811335859894,0.0,0,0,False,0.3402745331018427,0.0
147,73500,74000,500,0.0,0.24354303295279736,0.235726604019287,0.4059945838797801,0.24354303295279736,,,0.88,,0.88,0.0,,1.0,0.12,0.5470984306625982,False,none,0.06528041981149511,0.0,0,0,False,0.3402745331018427,0.0
148,74000,74500,500,0.0,0.2636412969746303,0.29172771672771675,0.4051044732047082,0.2636412969746303,,,0.898,,0.898,0.0,,1.0,0.102,0.5456365971790537,False,none,0.06462977306047546,0.0,0,0,False,0.3402745331018427,0.0
149,74500,75000,500,0.0,0.2958318754406179,0.3088092463092463,0.5321197458417221,0.2958318754406179,,,0.936,,0.936,0.0,,1.0,0.064,0.5975018353319212,False,none,0.05838720007956676,0.0,0,0,False,0.3402745331018427,0.0
150,75000,75500,500,0.0,0.37064312907370084,0.5222204143616443,0.5479386583316709,0.37064312907370084,,,0.88,,0.88,0.0,,1.0,0.12,0.5392438524905315,False,none,0.0925679060159503,0.0,0,0,False,0.3402745331018427,0.0
151,75500,76000,500,0.0,0.24161616415620993,0.3744120623958085,0.39661452716199846,0.24161616415620993,,,0.828,,0.828,0.0,,1.0,0.172,0.48607253581588383,False,none,0.050854074500184365,0.0,0,0,False,0.3402745331018427,0.0
152,76000,76500,500,0.0,0.23324676920539011,0.29495661605206075,0.36558654580293637,0.23324676920539011,,,0.86,,0.86,0.0,,1.0,0.14,0.5140747106789619,False,none,0.06344475535655428,0.0,0,0,False,0.3402745331018427,0.0
153,76500,77000,500,0.0,0.3547890615049371,0.4014362127053593,0.5696502718978209,0.3547890615049371,,,0.912,,0.912,0.0,,1.0,0.088,0.5572368969567201,False,none,0.07704234048754861,0.0,0,0,False,0.3402745331018427,0.0
154,77000,77500,500,0.0,0.3038214270716356,0.4037155010452224,0.435028332114408,0.3038214270716356,,,0.858,,0.858,0.0,,1.0,0.142,0.5100659709989708,False,none,0.11064565569646068,0.0,0,0,False,0.3402745331018427,0.0
155,77500,78000,500,0.0,0.26877082848949857,0.2960573476702509,0.5192193101414793,0.26877082848949857,,,0.926,,0.926,0.0,,1.0,0.074,0.5543611907802891,False,none,0.06576501166199472,0.0,0,0,False,0.3402745331018427,0.0
156,78000,78500,500,0.0,0.35253731589315,0.3353217972070431,0.47325895602436413,0.35253731589315,,,0.86,,0.86,0.0,,1.0,0.14,0.4803771555612772,False,none,0.062287690394984226,0.0,0,0,False,0.3402745331018427,0.0
157,78500,79000,500,0.0,0.2325130433758494,0.3597685326807382,0.3638610111800784,0.2325130433758494,,,0.892,,0.892,0.0,,1.0,0.108,0.5178694617276716,False,none,0.07625192463011027,0.0,0,0,False,0.3402745331018427,0.0
158,79000,79500,500,0.0,0.27986366336266105,0.38256613756613755,0.4019786479654855,0.3358363960351932,,,0.858,,0.858,0.0,,1.0,0.142,0.492474467619506,False,none,0.09982085598107325,0.0,0,0,False,0.3402745331018427,0.0
159,79500,80000,500,0.0,0.26713518122452834,0.4346671846671846,0.27448699110034325,0.26713518122452834,,,0.816,,0.816,0.0,,1.0,0.184,0.4721273462084664,False,none,0.08708170130586242,0.0,0,0,False,0.3402745331018427,0.0
160,80000,80500,500,0.0,0.2735916209070571,0.3693726053639847,0.417918868776513,0.2735916209070571,,,0.878,,0.878,0.0,,1.0,0.122,0.5097062090869398,False,none,0.06483437196271415,0.0,0,0,False,0.3402745331018427,0.0
161,80500,81000,500,0.0,0.26504123028770915,0.4495056497175141,0.3695684273130316,0.26504123028770915,,,0.904,,0.904,0.0,,1.0,0.096,0.5367535042732311,False,none,0.09437172742863392,0.0,0,0,False,0.3402745331018427,0.0
