window,start_row,stop_row,n_rows,novel_prevalence,known_macro_f1,known_macro_f1_all_initial_labels,known_balanced_accuracy,known_mcc,all_class_exact_macro_f1,novel_auprc,novel_auroc,known_success_rate,novel_safe_or_correct_rate,novel_exact_recall,novel_rejection_rate,novel_harmful_acceptance_rate,resilience_score,acquisition_macro_f1,false_unknown_rate,novel_non_rejection_rate,coverage,selective_risk,ece,drift_triggered,drift_reason,mean_shift_score,predicted_unknown_rate,labels_queried,queried_label_counts,cumulative_labels_queried,update_performed,source_holdout_macro_f1,source_forgetting
156,78000,78500,500,0.634,0.8807339449541285,0.29357798165137616,0.7868852459016393,,0.08944099378881988,0.6759377927694941,0.6867145886125046,0.7868852459016393,0.0,0.0,0.0,1.0,0.44036697247706424,0.2236024844720497,0.060109289617486336,1.0,0.978,0.7055214723926381,0.1801661088079424,False,latched,0.7944898990874605,0.022,0,{},0,False,0.5193428171074622,0.0
157,78500,79000,500,0.582,0.9057591623036649,0.3019197207678883,0.8277511961722488,,0.10282317979197622,0.6561899819211134,0.7219290024498923,0.8277511961722488,0.0,0.0,0.0,1.0,0.45287958115183247,0.25705794947994054,0.004784688995215311,1.0,0.998,0.6533066132264529,0.08528176855106712,False,latched,0.7116864582748603,0.002,0,{},0,False,0.5193428171074622,0.0
158,79000,79500,500,0.74,0.7962962962962963,0.2654320987654321,0.6615384615384615,,0.058703071672354945,0.7068650378712612,0.5660498960498961,0.6615384615384615,0.0,0.0,0.0,1.0,0.39814814814814814,0.14675767918088736,0.046153846153846156,1.0,0.988,0.8259109311740891,0.21445992522753302,False,latched,0.8974288022038486,0.012,0,{},0,False,0.5193428171074622,0.0
159,79500,80000,500,0.738,0.8706896551724138,0.29022988505747127,0.7709923664122137,,0.08402662229617304,0.7682531504567536,0.6732658929642731,0.7709923664122137,0.0,0.0,0.0,1.0,0.4353448275862069,0.16805324459234608,0.0,1.0,1.0,0.798,0.15423372948195332,False,latched,1.1544527839792116,0.0,0,{},0,False,0.5193428171074622,0.0
160,80000,80500,500,0.642,0.8300653594771242,0.2766884531590414,0.7094972067039106,,0.0810207336523126,0.7372753450339702,0.7120381489409839,0.7094972067039106,0.0,0.0,0.0,1.0,0.4150326797385621,0.2025518341307815,0.0111731843575419,1.0,0.996,0.7449799196787149,0.08845005668766602,False,latched,1.0477439119675773,0.004,0,{},0,False,0.5193428171074622,0.0
161,80500,81000,500,0.738,0.8303571428571429,0.2767857142857143,0.7099236641221374,,0.0627318718381113,0.7376250517604039,0.6444278946606261,0.7099236641221374,0.0,0.0,0.0,1.0,0.41517857142857145,0.15682967959527824,0.022900763358778626,1.0,0.994,0.8128772635814889,0.23261005894982678,False,latched,1.0170452800072278,0.006,0,{},0,False,0.5193428171074622,0.0
162,81000,81500,500,0.674,0.8680555555555556,0.28935185185185186,0.7668711656441718,,0.1,0.7124199781291589,0.7085252407565855,0.7668711656441718,0.0,0.0,0.0,1.0,0.4340277777777778,0.2,0.04294478527607362,1.0,0.986,0.7464503042596349,0.22961518712238374,False,latched,0.8186618610493595,0.014,0,{},0,False,0.5193428171074622,0.0
163,81500,82000,500,0.712,0.8433734939759037,0.28112449799196787,0.7291666666666666,,0.06942148760330578,0.6995167852721853,0.6291744694132334,0.7291666666666666,0.0,0.0,0.0,1.0,0.42168674698795183,0.17355371900826447,0.027777777777777776,1.0,0.992,0.7883064516129032,0.18936324685061823,False,latched,0.8085013164319866,0.008,0,{},0,False,0.5193428171074622,0.0
164,82000,82500,500,0.668,0.8268551236749117,0.2756183745583039,0.7048192771084337,,0.07585089141004862,0.6256888639607312,0.5367217372483948,0.7048192771084337,0.0,0.0,0.0,1.0,0.4134275618374558,0.18962722852512157,0.04819277108433735,1.0,0.984,0.7621951219512195,0.14314541119739557,False,latched,0.8296174222245281,0.016,0,{},0,False,0.5193428171074622,0.0
165,82500,83000,500,0.726,0.7929515418502202,0.2643171806167401,0.656934306569343,,0.061016949152542375,0.6800536097042336,0.5178057951780579,0.656934306569343,0.0,0.0,0.0,1.0,0.3964757709251101,0.15254237288135594,0.043795620437956206,1.0,0.988,0.8178137651821862,0.17889909892158773,False,latched,0.8662429005600416,0.012,0,{},0,False,0.5193428171074622,0.0
166,83000,83500,500,0.746,0.8294930875576036,0.27649769585253453,0.7086614173228346,,0.061016949152542375,0.7389710340428547,0.6083468788921492,0.7086614173228346,0.0,0.0,0.0,1.0,0.4147465437788018,0.15254237288135594,0.015748031496062992,1.0,0.996,0.8192771084337349,0.1809745430980699,False,latched,0.8718960095685464,0.004,0,{},0,False,0.5193428171074622,0.0
167,83500,84000,500,0.618,0.8927536231884058,0.2975845410628019,0.806282722513089,,0.09418960244648318,0.725339179407917,0.7701926498246328,0.806282722513089,0.0,0.0,0.0,1.0,0.4463768115942029,0.23547400611620795,0.005235602094240838,1.0,0.998,0.6913827655310621,0.15301648209120156,False,latched,0.7531841913901921,0.002,0,{},0,False,0.5193428171074622,0.0
